Variable Name,Short Name,Question,Subscale,First Order Subscale
adaptive_n_back.acc,NBAC,,,
adaptive_n_back.avg_rt,NBAVRT,,,
adaptive_n_back.avg_rt_error,NBAVRTE,,,
adaptive_n_back.EZ_drift,NBZD,,,
adaptive_n_back.EZ_non_decision,NBZN,,,
adaptive_n_back.EZ_thresh,NBZT,,,
adaptive_n_back.hddm_drift,NBHD,,,
adaptive_n_back.hddm_non_decision,NBHN,,,
adaptive_n_back.hddm_thresh,NBHT,,,
adaptive_n_back.mean_load,NBMEANLD,,,
adaptive_n_back.missed_percent,NBMSPRC,,,
adaptive_n_back.post_error_slowing,NBPES,,,
adaptive_n_back.std_rt,NBDRT,,,
adaptive_n_back.std_rt_error,NBDRTE,,,
angling_risk_task_always_sunny.keep_adjusted_clicks,ARTKCLCK,,,
angling_risk_task_always_sunny.keep_loss_percent,ARTKLPC,,,
angling_risk_task_always_sunny.keep_score,ARTKSCOR,,,
angling_risk_task_always_sunny.release_adjusted_clicks,ARTRCLCK,,,
angling_risk_task_always_sunny.release_loss_percent,ARTRLPC,,,
angling_risk_task_always_sunny.release_score,ARTRSCOR,,,
attention_network_task.acc,ANTAC,,,
attention_network_task.alerting_acc,ANTALTAC,,,
attention_network_task.alerting_rt,ANTALTRT,,,
attention_network_task.avg_rt,ANTAVRT,,,
attention_network_task.avg_rt_error,ANTAVRTE,,,
attention_network_task.conflict_acc,ANTCONAC,,,
attention_network_task.conflict_EZ_drift,ANTCONZD,,,
attention_network_task.conflict_EZ_non_decision,ANTCONZN,,,
attention_network_task.conflict_EZ_thresh,ANTCONZT,,,
attention_network_task.alerting_EZ_drift,ANTALTZD,,,
attention_network_task.alerting_EZ_non_decision,ANTALTZN,,,
attention_network_task.alerting_EZ_thresh,ANTALTZT,,,
attention_network_task.orienting_EZ_drift,ANTORTZD,,,
attention_network_task.orienting_EZ_non_decision,ANTORTZN,,,
attention_network_task.orienting_EZ_thresh,ANTORTZT,,,
attention_network_task.conflict_hddm_drift,ANTCONHD,,,
attention_network_task.conflict_hddm_thresh,ANTCONHT,,,
attention_network_task.alerting_hddm_drift,ANTALTHD,,,
attention_network_task.alerting_hddm_thresh,ANTALTHT,,,
attention_network_task.orienting_hddm_drift,ANTORTHD,,,
attention_network_task.orienting_hddm_thresh,ANTORTHT,,,
attention_network_task.conflict_rt,ANTCONRT,,,
attention_network_task.congruency_seq_acc,ANTCGSAC,,,
attention_network_task.congruency_seq_rt,ANTCGSRT,,,
attention_network_task.EZ_drift,ANTZD,,,
attention_network_task.EZ_thresh,ANTZT,,,
attention_network_task.EZ_non_decision,ANTZN,,,
attention_network_task.EZ_drift_congruent,ANTCGZD,,,
attention_network_task.EZ_drift_incongruent,ANTINCZD,,,
attention_network_task.EZ_drift_neutral,ANTNTRZD,,,
attention_network_task.EZ_non_decision_congruent,ANTCGZN,,,
attention_network_task.EZ_non_decision_incongruent,ANTINCZN,,,
attention_network_task.EZ_non_decision_neutral,ANTNTRZN,,,
attention_network_task.EZ_thresh_congruent,ANTCGZT,,,
attention_network_task.EZ_thresh_incongruent,ANTINCZT,,,
attention_network_task.EZ_thresh_neutral,ANTNTRZT,,,
